RecordId,Text,SentimentLabel,WordCount,Source
NLP-000001,"Terrible experience, product broke after one week.",Negative,7,Review
NLP-000002,Waited on hold for 45 minutes with no resolution.,Negative,9,Email
NLP-000003,"Terrible experience, product broke after one week.",Negative,7,SocialMedia
NLP-000004,Very disappointed with the quality for the price.,Negative,8,Survey
NLP-000005,"Would not recommend, multiple bugs in the software.",Negative,8,Review
NLP-000006,Fantastic quality and fast delivery.,Positive,5,Email
NLP-000007,Waited on hold for 45 minutes with no resolution.,Negative,9,Review
NLP-000008,"Average experience overall, may try again.",Neutral,6,SocialMedia
NLP-000009,The team went above and beyond to help us.,Positive,9,Survey
NLP-000010,It works as expected for basic needs.,Neutral,7,Ticket
NLP-000011,Fantastic quality and fast delivery.,Positive,5,Chat
NLP-000012,"Terrible experience, product broke after one week.",Negative,7,Chat
NLP-000013,Waited on hold for 45 minutes with no resolution.,Negative,9,Review
NLP-000014,Waited on hold for 45 minutes with no resolution.,Negative,9,Ticket
NLP-000015,Very disappointed with the quality for the price.,Negative,8,Ticket
NLP-000016,"Average experience overall, may try again.",Neutral,6,Chat
NLP-000017,It works as expected for basic needs.,Neutral,7,Survey
NLP-000018,"Absolutely love this product, exceeded my expectations!",Positive,7,SocialMedia
NLP-000019,Waited on hold for 45 minutes with no resolution.,Negative,9,Review
NLP-000020,"Standard service, nothing exceptional.",Neutral,4,SocialMedia
NLP-000021,"Best purchase I have made this year, highly recommend.",Positive,9,Review
NLP-000022,Waited on hold for 45 minutes with no resolution.,Negative,9,Email
NLP-000023,"Best purchase I have made this year, highly recommend.",Positive,9,Chat
NLP-000024,Fantastic quality and fast delivery.,Positive,5,Survey
NLP-000025,"Best purchase I have made this year, highly recommend.",Positive,9,Chat
NLP-000026,The team went above and beyond to help us.,Positive,9,Ticket
NLP-000027,Fantastic quality and fast delivery.,Positive,5,Email
NLP-000028,It works as expected for basic needs.,Neutral,7,SocialMedia
NLP-000029,The team went above and beyond to help us.,Positive,9,SocialMedia
NLP-000030,"Would not recommend, multiple bugs in the software.",Negative,8,Chat
NLP-000031,Product arrived on time as described.,Neutral,6,Chat
NLP-000032,Customer support was unhelpful and rude.,Negative,6,Email
NLP-000033,"Terrible experience, product broke after one week.",Negative,7,Chat
