EmailId,SenderDomain,WordCount,HasAttachment,NumLinks,IsReply,HourReceived,SubjectLine,EmailBodySnippet,EmailIntent
EML-000001,company.com,171,1,4,0,15,Invoice question,Please find my resume attached for the senior developer role.,JobApplication
EML-000002,gmail.com,249,1,2,1,13,Re: Project timeline,Please find my resume attached for the senior developer role.,JobApplication
EML-000003,gmail.com,125,0,0,0,10,Urgent: account issue,Congratulations! You have won a prize. Click here immediately.,Spam
EML-000004,unknown.net,344,0,2,1,13,Application for open position,There is a discrepancy on invoice #8834 dated last month.,InvoiceQuestion
EML-000005,gmail.com,176,0,0,1,0,Invoice question,Can we schedule a call next Tuesday to discuss the proposal?,MeetingRequest
EML-000006,gmail.com,371,1,7,1,15,Invoice question,Congratulations! You have won a prize. Click here immediately.,Spam
EML-000007,outlook.com,113,0,3,0,9,Special offer inside,There is a discrepancy on invoice #8834 dated last month.,InvoiceQuestion
EML-000008,outlook.com,64,1,3,0,21,Application for open position,Please find my resume attached for the senior developer role.,JobApplication
EML-000009,company.com,337,0,1,1,2,Special offer inside,Could you send pricing for the enterprise plan for 200 users?,SalesInquiry
EML-000010,outlook.com,212,0,5,0,6,Re: Project timeline,I am unable to access my account after the latest update.,SupportRequest
EML-000011,vendor.io,361,0,6,1,14,Special offer inside,Could you send pricing for the enterprise plan for 200 users?,SalesInquiry
EML-000012,gmail.com,123,0,3,1,7,Re: Project timeline,Can we schedule a call next Tuesday to discuss the proposal?,MeetingRequest
EML-000013,vendor.io,287,0,0,0,3,Urgent: account issue,Congratulations! You have won a prize. Click here immediately.,Spam
EML-000014,unknown.net,267,0,3,0,11,Urgent: account issue,Please find my resume attached for the senior developer role.,JobApplication
EML-000015,vendor.io,196,1,8,1,21,Application for open position,Congratulations! You have won a prize. Click here immediately.,Spam
EML-000016,company.com,161,0,4,1,20,Special offer inside,My order arrived damaged and customer service has not responded.,Complaint
EML-000017,outlook.com,323,1,7,1,6,Urgent: account issue,Can we schedule a call next Tuesday to discuss the proposal?,MeetingRequest
EML-000018,outlook.com,310,0,3,1,4,Invoice question,There is a discrepancy on invoice #8834 dated last month.,InvoiceQuestion
