RecordId,Text,NewsTopic,WordCount,Source
NLP-000001,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000002,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000003,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000004,Global markets react to central bank interest rate decision.,Business,9,Chat
NLP-000005,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000006,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000007,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000008,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000009,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000010,New study links regular exercise to improved cognitive function in adults.,Health,11,Ticket
NLP-000011,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000012,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000013,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000014,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000015,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000016,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000017,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000018,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Survey
NLP-000019,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000020,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000021,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000022,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000023,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000024,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000025,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000026,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000027,Global markets react to central bank interest rate decision.,Business,9,Survey
NLP-000028,Global markets react to central bank interest rate decision.,Business,9,Review
NLP-000029,Underdog team wins championship in dramatic overtime finish.,Sports,8,Review
NLP-000030,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000031,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000032,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000033,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000034,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000035,Underdog team wins championship in dramatic overtime finish.,Sports,8,SocialMedia
NLP-000036,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000037,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000038,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000039,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000040,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000041,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000042,New study links regular exercise to improved cognitive function in adults.,Health,11,Review
NLP-000043,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000044,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000045,Major tech company announces breakthrough in quantum computing research.,Technology,9,Ticket
NLP-000046,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000047,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000048,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000049,Major tech company announces breakthrough in quantum computing research.,Technology,9,SocialMedia
NLP-000050,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000051,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000052,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000053,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000054,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000055,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000056,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000057,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000058,Underdog team wins championship in dramatic overtime finish.,Sports,8,Ticket
NLP-000059,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000060,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000061,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000062,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000063,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
NLP-000064,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000065,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Chat
NLP-000066,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000067,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000068,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000069,Major tech company announces breakthrough in quantum computing research.,Technology,9,Chat
NLP-000070,New study links regular exercise to improved cognitive function in adults.,Health,11,Email
NLP-000071,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000072,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000073,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000074,New study links regular exercise to improved cognitive function in adults.,Health,11,SocialMedia
NLP-000075,New study links regular exercise to improved cognitive function in adults.,Health,11,Chat
NLP-000076,Underdog team wins championship in dramatic overtime finish.,Sports,8,Chat
NLP-000077,Major tech company announces breakthrough in quantum computing research.,Technology,9,Survey
NLP-000078,Major tech company announces breakthrough in quantum computing research.,Technology,9,Email
NLP-000079,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000080,Major tech company announces breakthrough in quantum computing research.,Technology,9,Review
NLP-000081,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000082,Senate passes new infrastructure bill after months of negotiations.,Politics,9,SocialMedia
NLP-000083,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000084,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000085,Global markets react to central bank interest rate decision.,Business,9,Ticket
NLP-000086,Global markets react to central bank interest rate decision.,Business,9,SocialMedia
NLP-000087,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000088,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000089,New study links regular exercise to improved cognitive function in adults.,Health,11,Survey
NLP-000090,Underdog team wins championship in dramatic overtime finish.,Sports,8,Survey
NLP-000091,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Ticket
NLP-000092,Global markets react to central bank interest rate decision.,Business,9,Email
NLP-000093,Underdog team wins championship in dramatic overtime finish.,Sports,8,Email
NLP-000094,Senate passes new infrastructure bill after months of negotiations.,Politics,9,Review
