ProductId,ProductName,Brand,WeightKg,Price,Color,Material,IsSeasonal,ReviewCount,AverageRating,Description,ProductCategory
PRD-000001,Trail Running Shoes,PureGlow,9.19,228.75,Green,Synthetic,0,366,5,,Toys
PRD-000002,Building Block Set 500pc,PeakFit,8.58,868.75,White,Synthetic,0,1444,4.7,Energy efficient smart lighting for home automation,Beauty
PRD-000003,Vitamin C Serum 30ml,BrightHome,13.83,866.2,Blue,Metal,0,757,4.6,Comfortable everyday wear made from organic cotton,Sports
PRD-000004,Smart LED Bulb 4-Pack,NovaTech,0.71,351.06,Black,Metal,0,1902,3.9,Energy efficient smart lighting for home automation,Clothing
PRD-000005,Trail Running Shoes,NovaTech,6.72,855.38,Blue,,1,1663,3.6,Comfortable everyday wear made from organic cotton,Toys
PRD-000006,Organic Cotton Tee,BrightHome,17.44,194.07,Blue,Cotton,0,336,2.6,Energy efficient smart lighting for home automation,Electronics
PRD-000007,Smart LED Bulb 4-Pack,UrbanWear,20.03,364.78,Black,Cotton,0,1160,3,Energy efficient smart lighting for home automation,Clothing
PRD-000008,Trail Running Shoes,PlayCraft,17.75,437.47,Blue,Metal,0,970,4.6,Energy efficient smart lighting for home automation,Books
PRD-000009,Building Block Set 500pc,NovaTech,1.01,205.78,Red,Glass,0,2367,3.2,,Books
PRD-000010,Vitamin C Serum 30ml,NovaTech,16.75,454.97,,Wood,0,1327,4,High performance wireless audio with noise cancellation,Toys
PRD-000011,Vitamin C Serum 30ml,GreenLeaf,4.65,358.97,Red,Metal,1,1176,4.3,High performance wireless audio with noise cancellation,Clothing
PRD-000012,Vitamin C Serum 30ml,PureGlow,20.11,449.15,Green,Synthetic,0,1996,4.8,,Beauty
PRD-000013,Building Block Set 500pc,PureGlow,7.48,209.53,Green,,1,2154,2.6,,Clothing
PRD-000014,Pro Wireless Headphones,BrightHome,14.98,694.12,Black,Synthetic,0,1720,3.4,High performance wireless audio with noise cancellation,Toys
PRD-000015,All-Weather Floor Mats,BrightHome,20.74,752.87,Blue,Cotton,0,1614,3.3,Comfortable everyday wear made from organic cotton,Clothing
PRD-000016,All-Weather Floor Mats,PeakFit,11.71,85.24,Blue,Glass,1,1917,3.8,Comfortable everyday wear made from organic cotton,HomeGarden
PRD-000017,Trail Running Shoes,PureGlow,5.13,609.46,White,Plastic,1,523,4.9,High performance wireless audio with noise cancellation,Automotive
PRD-000018,Pro Wireless Headphones,GreenLeaf,10.74,530.61,Red,Plastic,1,437,3.2,Comfortable everyday wear made from organic cotton,Electronics
PRD-000019,Pro Wireless Headphones,AutoShield,5.46,171.46,Red,Wood,0,1495,3.4,High performance wireless audio with noise cancellation,Beauty
PRD-000020,Trail Running Shoes,UrbanWear,21.98,211.24,Blue,Synthetic,1,86,4.2,,Clothing
PRD-000021,Pro Wireless Headphones,NovaTech,16.8,242.35,Green,Synthetic,1,1988,2.6,,Toys
PRD-000022,Data Science Handbook,NovaTech,0.65,697.52,Blue,Glass,1,641,4,,Beauty
PRD-000023,Smart LED Bulb 4-Pack,NovaTech,13.11,683.45,White,Synthetic,0,257,2.5,,Clothing
PRD-000024,Organic Cotton Tee,UrbanWear,11.11,175.25,Green,Cotton,1,2330,4.6,,Toys
PRD-000025,Data Science Handbook,PureGlow,14.67,439.03,White,Wood,0,754,3.5,High performance wireless audio with noise cancellation,Electronics
PRD-000026,Pro Wireless Headphones,UrbanWear,17.7,291.1,Red,Plastic,0,543,3.4,High performance wireless audio with noise cancellation,Clothing
PRD-000027,Data Science Handbook,UrbanWear,18.63,426.07,,Cotton,1,2005,3,,HomeGarden
PRD-000028,Building Block Set 500pc,UrbanWear,17.67,568.35,Red,Plastic,0,2177,4.9,Energy efficient smart lighting for home automation,Sports
PRD-000029,Trail Running Shoes,UrbanWear,6.81,846.72,Green,Synthetic,1,327,4.5,Comfortable everyday wear made from organic cotton,Books
PRD-000030,Trail Running Shoes,PeakFit,21.47,172.87,,Synthetic,0,813,3.4,,HomeGarden
PRD-000031,Vitamin C Serum 30ml,PlayCraft,11.26,807.66,Blue,Glass,1,278,3.9,,Books
