RecordId,Text,TicketCategory,WordCount,Source
NLP-000001,The application crashes every time I try to export a report.,Technical,11,Review
NLP-000002,The application crashes every time I try to export a report.,Technical,11,Review
NLP-000003,The application crashes every time I try to export a report.,Technical,11,Email
NLP-000004,My package has been stuck in transit for over two weeks.,Shipping,11,Review
NLP-000005,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000006,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000007,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000008,I was charged twice on my latest invoice and need a refund.,Billing,12,SocialMedia
NLP-000009,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000010,The application crashes every time I try to export a report.,Technical,11,SocialMedia
NLP-000011,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000012,I forgot my password and the reset link is not working.,AccountAccess,11,Review
NLP-000013,My package has been stuck in transit for over two weeks.,Shipping,11,Ticket
NLP-000014,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000015,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000016,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000017,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000018,I was charged twice on my latest invoice and need a refund.,Billing,12,SocialMedia
NLP-000019,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000020,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000021,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000022,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000023,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000024,I was charged twice on my latest invoice and need a refund.,Billing,12,Ticket
NLP-000025,I forgot my password and the reset link is not working.,AccountAccess,11,Email
NLP-000026,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000027,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000028,My package has been stuck in transit for over two weeks.,Shipping,11,Email
NLP-000029,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000030,My package has been stuck in transit for over two weeks.,Shipping,11,Email
NLP-000031,The application crashes every time I try to export a report.,Technical,11,SocialMedia
NLP-000032,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000033,I forgot my password and the reset link is not working.,AccountAccess,11,Survey
NLP-000034,My package has been stuck in transit for over two weeks.,Shipping,11,Survey
NLP-000035,My package has been stuck in transit for over two weeks.,Shipping,11,Chat
NLP-000036,"I would like to return item #8821, it arrived damaged.",Returns,10,SocialMedia
NLP-000037,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000038,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000039,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000040,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000041,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000042,The application crashes every time I try to export a report.,Technical,11,SocialMedia
NLP-000043,My package has been stuck in transit for over two weeks.,Shipping,11,SocialMedia
NLP-000044,I was charged twice on my latest invoice and need a refund.,Billing,12,Ticket
NLP-000045,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000046,I was charged twice on my latest invoice and need a refund.,Billing,12,Review
NLP-000047,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000048,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000049,My package has been stuck in transit for over two weeks.,Shipping,11,Email
NLP-000050,My package has been stuck in transit for over two weeks.,Shipping,11,Ticket
NLP-000051,I forgot my password and the reset link is not working.,AccountAccess,11,Chat
NLP-000052,I forgot my password and the reset link is not working.,AccountAccess,11,Survey
NLP-000053,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000054,My package has been stuck in transit for over two weeks.,Shipping,11,Chat
NLP-000055,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000056,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000057,I forgot my password and the reset link is not working.,AccountAccess,11,Email
NLP-000058,"I would like to return item #8821, it arrived damaged.",Returns,10,Review
NLP-000059,"I would like to return item #8821, it arrived damaged.",Returns,10,Ticket
NLP-000060,I forgot my password and the reset link is not working.,AccountAccess,11,Chat
NLP-000061,My package has been stuck in transit for over two weeks.,Shipping,11,SocialMedia
NLP-000062,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000063,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000064,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000065,The application crashes every time I try to export a report.,Technical,11,Email
NLP-000066,I was charged twice on my latest invoice and need a refund.,Billing,12,Chat
NLP-000067,My package has been stuck in transit for over two weeks.,Shipping,11,Review
NLP-000068,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000069,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000070,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000071,My package has been stuck in transit for over two weeks.,Shipping,11,SocialMedia
NLP-000072,I forgot my password and the reset link is not working.,AccountAccess,11,Email
NLP-000073,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000074,I forgot my password and the reset link is not working.,AccountAccess,11,Survey
NLP-000075,I was charged twice on my latest invoice and need a refund.,Billing,12,Ticket
NLP-000076,The application crashes every time I try to export a report.,Technical,11,Ticket
NLP-000077,My package has been stuck in transit for over two weeks.,Shipping,11,Survey
NLP-000078,The application crashes every time I try to export a report.,Technical,11,Email
NLP-000079,The application crashes every time I try to export a report.,Technical,11,Review
NLP-000080,"I would like to return item #8821, it arrived damaged.",Returns,10,Email
NLP-000081,I forgot my password and the reset link is not working.,AccountAccess,11,Survey
NLP-000082,My package has been stuck in transit for over two weeks.,Shipping,11,Review
NLP-000083,I forgot my password and the reset link is not working.,AccountAccess,11,SocialMedia
NLP-000084,I forgot my password and the reset link is not working.,AccountAccess,11,Email
NLP-000085,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000086,"I would like to return item #8821, it arrived damaged.",Returns,10,Chat
NLP-000087,The application crashes every time I try to export a report.,Technical,11,Review
NLP-000088,I was charged twice on my latest invoice and need a refund.,Billing,12,SocialMedia
NLP-000089,I forgot my password and the reset link is not working.,AccountAccess,11,Survey
NLP-000090,I was charged twice on my latest invoice and need a refund.,Billing,12,SocialMedia
NLP-000091,"I would like to return item #8821, it arrived damaged.",Returns,10,SocialMedia
NLP-000092,"I would like to return item #8821, it arrived damaged.",Returns,10,SocialMedia
NLP-000093,I forgot my password and the reset link is not working.,AccountAccess,11,Review
NLP-000094,The application crashes every time I try to export a report.,Technical,11,Chat
NLP-000095,My package has been stuck in transit for over two weeks.,Shipping,11,Review
NLP-000096,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000097,The application crashes every time I try to export a report.,Technical,11,Email
NLP-000098,The application crashes every time I try to export a report.,Technical,11,Ticket
NLP-000099,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
NLP-000100,My package has been stuck in transit for over two weeks.,Shipping,11,Chat
NLP-000101,My package has been stuck in transit for over two weeks.,Shipping,11,Chat
NLP-000102,My package has been stuck in transit for over two weeks.,Shipping,11,Chat
NLP-000103,I forgot my password and the reset link is not working.,AccountAccess,11,Review
NLP-000104,"I would like to return item #8821, it arrived damaged.",Returns,10,Survey
NLP-000105,I forgot my password and the reset link is not working.,AccountAccess,11,Ticket
NLP-000106,I was charged twice on my latest invoice and need a refund.,Billing,12,Email
NLP-000107,I was charged twice on my latest invoice and need a refund.,Billing,12,Email
NLP-000108,I was charged twice on my latest invoice and need a refund.,Billing,12,Survey
