TicketId,CustomerTier,Channel,Priority,ProductLine,ResponseTimeHours,ResolutionTimeHours,AgentExperienceYears,Escalated,CustomerSentimentScore,TicketSubject,TicketCategory
TKT-000001,Gold,WebPortal,Medium,EnterpriseERP,34.6,18.7,1.4,1,0.4,Delayed shipment tracking,Shipping
TKT-000002,Platinum,WebPortal,Low,MobileApp,30.5,27.2,11.8,0,-0.19,Invoice discrepancy for March,ProductInquiry
TKT-000003,Bronze,WebPortal,Medium,CloudSuite,9,42,4.8,0,-0.38,Request refund for order #4421,Returns
TKT-000004,Platinum,WebPortal,Medium,CloudSuite,28,89.3,4.3,0,0.9,Request refund for order #4421,Returns
TKT-000005,Silver,WebPortal,High,RetailPOS,41,19.7,8,0,0.74,Cannot reset password,Technical
TKT-000006,Platinum,Phone,Critical,CloudSuite,0.4,4.7,5.6,1,-0.48,Invoice discrepancy for March,AccountAccess
TKT-000007,Silver,WebPortal,Critical,EnterpriseERP,30.7,116,6.5,0,0.52,API rate limit exceeded,Shipping
TKT-000008,Gold,Phone,Low,CloudSuite,25.6,17.2,3.6,0,-0.51,API rate limit exceeded,Shipping
TKT-000009,Platinum,WebPortal,High,MobileApp,9.5,34.2,4.4,1,-0.76,App crashes on startup,Returns
TKT-000010,Gold,Chat,Medium,CloudSuite,34,53.1,2.4,0,-0.86,Request refund for order #4421,Returns
TKT-000011,Platinum,Phone,Critical,CloudSuite,28.4,76.8,6.2,0,0.56,Delayed shipment tracking,Returns
TKT-000012,Gold,Phone,Low,RetailPOS,15.6,99.3,1.3,1,0.44,Request refund for order #4421,ProductInquiry
TKT-000013,Bronze,Phone,High,CloudSuite,43,20.3,7.5,0,0.37,Cannot reset password,AccountAccess
TKT-000014,Bronze,WebPortal,High,CloudSuite,35.7,23.1,5.7,0,-0.81,Cannot reset password,Technical
TKT-000015,Silver,WebPortal,Medium,CloudSuite,17.9,22.6,7.8,1,-0.14,Delayed shipment tracking,Shipping
TKT-000016,Bronze,Chat,Low,EnterpriseERP,35.6,76.9,7.5,0,0.15,App crashes on startup,AccountAccess
TKT-000017,Silver,Email,Medium,EnterpriseERP,8.7,5.5,5.5,0,-0.17,API rate limit exceeded,Shipping
TKT-000018,Platinum,Phone,Medium,MobileApp,30.5,49,4.8,0,0.91,Request refund for order #4421,Shipping
TKT-000019,Gold,Phone,Medium,MobileApp,32.1,37.2,5.8,0,0.79,Invoice discrepancy for March,Billing
