RecordId,Text,DocumentType,WordCount,Source
NLP-000001,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000002,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,Email
NLP-000003,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000004,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Survey
NLP-000005,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000006,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000007,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Review
NLP-000008,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000009,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,SocialMedia
NLP-000010,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000011,This agreement is entered into between Party A and Party B effective January 1.,Contract,14,SocialMedia
NLP-000012,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Review
NLP-000013,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,SocialMedia
NLP-000014,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000015,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Email
NLP-000016,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Chat
NLP-000017,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Ticket
NLP-000018,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000019,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,SocialMedia
NLP-000020,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Survey
NLP-000021,A system and method for processing data using machine learning algorithms is disclosed.,Patent,13,Review
NLP-000022,Annual audit findings indicate partial compliance with regulation SEC-404.,ComplianceReport,9,Chat
NLP-000023,Plaintiff respectfully submits this motion for summary judgment to the court.,CourtFiling,11,Review
NLP-000024,The receiving party agrees not to disclose confidential information for five years.,NDA,12,Chat
