RecordId,Text,SentimentLabel,WordCount,Source
NLP-000001,"Received the item, still evaluating its features.",Neutral,7,Survey
NLP-000002,Waited on hold for 45 minutes with no resolution.,Negative,9,Chat
NLP-000003,"Average experience overall, may try again.",Neutral,6,Review
NLP-000004,The team went above and beyond to help us.,Positive,9,Ticket
NLP-000005,"Best purchase I have made this year, highly recommend.",Positive,9,Email
NLP-000006,"Received the item, still evaluating its features.",Neutral,7,Survey
NLP-000007,Waited on hold for 45 minutes with no resolution.,Negative,9,Chat
NLP-000008,Very disappointed with the quality for the price.,Negative,8,Survey
NLP-000009,"Average experience overall, may try again.",Neutral,6,Review
NLP-000010,"Received the item, still evaluating its features.",Neutral,7,Email
NLP-000011,"Absolutely love this product, exceeded my expectations!",Positive,7,Chat
NLP-000012,Product arrived on time as described.,Neutral,6,Survey
NLP-000013,"Standard service, nothing exceptional.",Neutral,4,Ticket
NLP-000014,"Great customer service, issue resolved quickly.",Positive,6,Ticket
NLP-000015,Fantastic quality and fast delivery.,Positive,5,Review
NLP-000016,"Absolutely love this product, exceeded my expectations!",Positive,7,Survey
NLP-000017,"Would not recommend, multiple bugs in the software.",Negative,8,Ticket
NLP-000018,"Would not recommend, multiple bugs in the software.",Negative,8,Email
NLP-000019,Fantastic quality and fast delivery.,Positive,5,SocialMedia
NLP-000020,The team went above and beyond to help us.,Positive,9,SocialMedia
NLP-000021,Customer support was unhelpful and rude.,Negative,6,Ticket
NLP-000022,"Would not recommend, multiple bugs in the software.",Negative,8,Email
NLP-000023,"Great customer service, issue resolved quickly.",Positive,6,SocialMedia
NLP-000024,"Would not recommend, multiple bugs in the software.",Negative,8,SocialMedia
NLP-000025,"Standard service, nothing exceptional.",Neutral,4,Chat
NLP-000026,"Best purchase I have made this year, highly recommend.",Positive,9,Review
NLP-000027,Customer support was unhelpful and rude.,Negative,6,Survey
NLP-000028,It works as expected for basic needs.,Neutral,7,Ticket
NLP-000029,Very disappointed with the quality for the price.,Negative,8,Survey
NLP-000030,"Would not recommend, multiple bugs in the software.",Negative,8,Chat
NLP-000031,Fantastic quality and fast delivery.,Positive,5,Review
NLP-000032,"Standard service, nothing exceptional.",Neutral,4,Chat
NLP-000033,Product arrived on time as described.,Neutral,6,Ticket
NLP-000034,"Would not recommend, multiple bugs in the software.",Negative,8,Review
NLP-000035,Product arrived on time as described.,Neutral,6,Survey
NLP-000036,"Average experience overall, may try again.",Neutral,6,Review
NLP-000037,"Standard service, nothing exceptional.",Neutral,4,Ticket
NLP-000038,The team went above and beyond to help us.,Positive,9,Survey
NLP-000039,Very disappointed with the quality for the price.,Negative,8,SocialMedia
NLP-000040,"Great customer service, issue resolved quickly.",Positive,6,Email
