RecordId,Text,SentimentLabel,WordCount,Source
NLP-000001,"Average experience overall, may try again.",Neutral,6,Chat
NLP-000002,"Absolutely love this product, exceeded my expectations!",Positive,7,Ticket
NLP-000003,The team went above and beyond to help us.,Positive,9,Ticket
NLP-000004,"Standard service, nothing exceptional.",Neutral,4,Review
NLP-000005,Very disappointed with the quality for the price.,Negative,8,Review
NLP-000006,It works as expected for basic needs.,Neutral,7,Review
NLP-000007,It works as expected for basic needs.,Neutral,7,Survey
NLP-000008,Customer support was unhelpful and rude.,Negative,6,Chat
NLP-000009,"Standard service, nothing exceptional.",Neutral,4,Email
NLP-000010,Very disappointed with the quality for the price.,Negative,8,Review
NLP-000011,"Terrible experience, product broke after one week.",Negative,7,Chat
NLP-000012,Waited on hold for 45 minutes with no resolution.,Negative,9,Survey
NLP-000013,"Would not recommend, multiple bugs in the software.",Negative,8,Review
NLP-000014,"Great customer service, issue resolved quickly.",Positive,6,SocialMedia
NLP-000015,"Would not recommend, multiple bugs in the software.",Negative,8,Ticket
NLP-000016,"Best purchase I have made this year, highly recommend.",Positive,9,SocialMedia
NLP-000017,"Great customer service, issue resolved quickly.",Positive,6,Review
NLP-000018,"Standard service, nothing exceptional.",Neutral,4,Chat
NLP-000019,Customer support was unhelpful and rude.,Negative,6,Review
NLP-000020,Very disappointed with the quality for the price.,Negative,8,Chat
NLP-000021,"Standard service, nothing exceptional.",Neutral,4,Ticket
NLP-000022,"Would not recommend, multiple bugs in the software.",Negative,8,Ticket
NLP-000023,"Great customer service, issue resolved quickly.",Positive,6,Email
NLP-000024,Very disappointed with the quality for the price.,Negative,8,SocialMedia
NLP-000025,"Best purchase I have made this year, highly recommend.",Positive,9,Review
NLP-000026,"Standard service, nothing exceptional.",Neutral,4,Email
NLP-000027,"Average experience overall, may try again.",Neutral,6,Review
NLP-000028,"Absolutely love this product, exceeded my expectations!",Positive,7,Survey
NLP-000029,Fantastic quality and fast delivery.,Positive,5,Chat
NLP-000030,Customer support was unhelpful and rude.,Negative,6,Chat
NLP-000031,The team went above and beyond to help us.,Positive,9,SocialMedia
NLP-000032,The team went above and beyond to help us.,Positive,9,SocialMedia
NLP-000033,It works as expected for basic needs.,Neutral,7,Survey
NLP-000034,"Great customer service, issue resolved quickly.",Positive,6,Ticket
NLP-000035,"Received the item, still evaluating its features.",Neutral,7,Ticket
NLP-000036,Very disappointed with the quality for the price.,Negative,8,Chat
NLP-000037,Customer support was unhelpful and rude.,Negative,6,SocialMedia
NLP-000038,"Would not recommend, multiple bugs in the software.",Negative,8,SocialMedia
NLP-000039,Waited on hold for 45 minutes with no resolution.,Negative,9,Ticket
NLP-000040,"Standard service, nothing exceptional.",Neutral,4,Review
NLP-000041,"Terrible experience, product broke after one week.",Negative,7,Chat
NLP-000042,"Terrible experience, product broke after one week.",Negative,7,Chat
NLP-000043,Product arrived on time as described.,Neutral,6,Review
NLP-000044,"Standard service, nothing exceptional.",Neutral,4,Survey
NLP-000045,Fantastic quality and fast delivery.,Positive,5,Chat
NLP-000046,Product arrived on time as described.,Neutral,6,Survey
