RecordId,Text,ReviewCategory,WordCount,Source
NLP-000001,Delivery was fast but the box arrived dented on one corner.,Shipping,11,Survey
NLP-000002,Good value for money compared to similar products in this range.,Price,11,Email
NLP-000003,Good value for money compared to similar products in this range.,Price,11,SocialMedia
NLP-000004,Support team responded within hours and resolved my issue.,CustomerService,9,Chat
NLP-000005,Good value for money compared to similar products in this range.,Price,11,SocialMedia
NLP-000006,Missing several advertised features mentioned on the product page.,Features,9,Review
NLP-000007,Support team responded within hours and resolved my issue.,CustomerService,9,Chat
NLP-000008,Missing several advertised features mentioned on the product page.,Features,9,Email
NLP-000009,Support team responded within hours and resolved my issue.,CustomerService,9,Email
NLP-000010,Support team responded within hours and resolved my issue.,CustomerService,9,Ticket
NLP-000011,Missing several advertised features mentioned on the product page.,Features,9,SocialMedia
NLP-000012,Good value for money compared to similar products in this range.,Price,11,Email
NLP-000013,The build quality feels cheap and the material started peeling after a week.,Quality,13,Email
NLP-000014,The build quality feels cheap and the material started peeling after a week.,Quality,13,Ticket
NLP-000015,Missing several advertised features mentioned on the product page.,Features,9,Review
NLP-000016,Delivery was fast but the box arrived dented on one corner.,Shipping,11,SocialMedia
NLP-000017,The build quality feels cheap and the material started peeling after a week.,Quality,13,Email
NLP-000018,Support team responded within hours and resolved my issue.,CustomerService,9,Survey
NLP-000019,Missing several advertised features mentioned on the product page.,Features,9,Review
NLP-000020,The build quality feels cheap and the material started peeling after a week.,Quality,13,Review
NLP-000021,The build quality feels cheap and the material started peeling after a week.,Quality,13,SocialMedia
NLP-000022,Missing several advertised features mentioned on the product page.,Features,9,Email
NLP-000023,Delivery was fast but the box arrived dented on one corner.,Shipping,11,Ticket
NLP-000024,Missing several advertised features mentioned on the product page.,Features,9,Chat
NLP-000025,The build quality feels cheap and the material started peeling after a week.,Quality,13,Ticket
NLP-000026,The build quality feels cheap and the material started peeling after a week.,Quality,13,Chat
NLP-000027,Support team responded within hours and resolved my issue.,CustomerService,9,Review
NLP-000028,Support team responded within hours and resolved my issue.,CustomerService,9,Chat
