RecordId,Text,SentimentLabel,WordCount,Source
NLP-000001,Customer support was unhelpful and rude.,Negative,6,Review
NLP-000002,"Best purchase I have made this year, highly recommend.",Positive,9,Email
NLP-000003,Product arrived on time as described.,Neutral,6,Ticket
NLP-000004,"Received the item, still evaluating its features.",Neutral,7,Ticket
NLP-000005,"Best purchase I have made this year, highly recommend.",Positive,9,Ticket
NLP-000006,"Absolutely love this product, exceeded my expectations!",Positive,7,Email
NLP-000007,"Great customer service, issue resolved quickly.",Positive,6,Survey
NLP-000008,"Would not recommend, multiple bugs in the software.",Negative,8,Survey
NLP-000009,Fantastic quality and fast delivery.,Positive,5,SocialMedia
NLP-000010,Waited on hold for 45 minutes with no resolution.,Negative,9,Chat
NLP-000011,Very disappointed with the quality for the price.,Negative,8,Email
NLP-000012,"Would not recommend, multiple bugs in the software.",Negative,8,SocialMedia
NLP-000013,"Great customer service, issue resolved quickly.",Positive,6,Survey
NLP-000014,Very disappointed with the quality for the price.,Negative,8,Review
NLP-000015,The team went above and beyond to help us.,Positive,9,Email
NLP-000016,"Absolutely love this product, exceeded my expectations!",Positive,7,Email
NLP-000017,Customer support was unhelpful and rude.,Negative,6,Review
NLP-000018,"Would not recommend, multiple bugs in the software.",Negative,8,Chat
NLP-000019,"Average experience overall, may try again.",Neutral,6,Review
NLP-000020,Customer support was unhelpful and rude.,Negative,6,Review
NLP-000021,"Would not recommend, multiple bugs in the software.",Negative,8,Review
NLP-000022,"Average experience overall, may try again.",Neutral,6,Chat
NLP-000023,Waited on hold for 45 minutes with no resolution.,Negative,9,Ticket
NLP-000024,"Received the item, still evaluating its features.",Neutral,7,Ticket
NLP-000025,Customer support was unhelpful and rude.,Negative,6,Survey
NLP-000026,Fantastic quality and fast delivery.,Positive,5,Review
NLP-000027,"Average experience overall, may try again.",Neutral,6,Chat
NLP-000028,Waited on hold for 45 minutes with no resolution.,Negative,9,Chat
NLP-000029,"Would not recommend, multiple bugs in the software.",Negative,8,Chat
NLP-000030,The team went above and beyond to help us.,Positive,9,Review
NLP-000031,"Average experience overall, may try again.",Neutral,6,SocialMedia
NLP-000032,"Absolutely love this product, exceeded my expectations!",Positive,7,SocialMedia
NLP-000033,Fantastic quality and fast delivery.,Positive,5,Ticket
NLP-000034,Customer support was unhelpful and rude.,Negative,6,Survey
NLP-000035,"Best purchase I have made this year, highly recommend.",Positive,9,Email
NLP-000036,"Would not recommend, multiple bugs in the software.",Negative,8,Ticket
NLP-000037,Customer support was unhelpful and rude.,Negative,6,SocialMedia
NLP-000038,"Great customer service, issue resolved quickly.",Positive,6,SocialMedia
NLP-000039,"Average experience overall, may try again.",Neutral,6,SocialMedia
NLP-000040,It works as expected for basic needs.,Neutral,7,Ticket
NLP-000041,Waited on hold for 45 minutes with no resolution.,Negative,9,Survey
NLP-000042,Customer support was unhelpful and rude.,Negative,6,SocialMedia
NLP-000043,The team went above and beyond to help us.,Positive,9,Email
NLP-000044,Customer support was unhelpful and rude.,Negative,6,Survey
NLP-000045,"Terrible experience, product broke after one week.",Negative,7,Email
NLP-000046,"Absolutely love this product, exceeded my expectations!",Positive,7,Chat
NLP-000047,"Standard service, nothing exceptional.",Neutral,4,Ticket
NLP-000048,"Great customer service, issue resolved quickly.",Positive,6,Review
